qasm_file,sabre_swaps,sabre_time_s,sabre_depth,sabre_2q_depth,sabre_size,sabre_ops_json,multilevel_swaps,multilevel_time_s,multilevel_depth,multilevel_2q_depth,multilevel_size,multilevel_ops_json,speedup,swap_reduction_pct,error
circuits_transpiled/wstate_n118.qasm,24,0.095,259,161,611,"{""u3"": 234, ""cx"": 234, ""measure"": 118, ""swap"": 24, ""x"": 1, ""barrier"": 1}",17,0.8313,490,153,1072,"{""sx"": 468, ""rz"": 234, ""cx"": 234, ""measure"": 118, ""swap"": 17, ""x"": 1, ""barrier"": 1}",0.1143,29.167,
circuits_transpiled/swap_test_n83.qasm,153,0.0691,482,319,648,"{""cx"": 246, ""rz"": 164, ""swap"": 153, ""u2"": 42, ""unitary"": 41, ""sx"": 1, ""measure"": 1}",105,1.1869,555,297,1342,"{""rz"": 660, ""cx"": 328, ""sx"": 248, ""swap"": 105, ""measure"": 1}",0.0582,31.373,
circuits_transpiled/knn_67.qasm,124,0.1068,396,264,523,"{""cx"": 198, ""rz"": 132, ""swap"": 124, ""u2"": 34, ""unitary"": 33, ""sx"": 1, ""measure"": 1}",82,1.0361,447,240,1013,"{""rz"": 466, ""cx"": 264, ""sx"": 200, ""swap"": 82, ""measure"": 1}",0.1031,33.871,
circuits_transpiled/dnn_n51.qasm,106,0.0646,289,191,507,"{""cx"": 150, ""swap"": 106, ""rz"": 100, ""unitary"": 73, ""measure"": 51, ""u2"": 27, ""barrier"": 1}",106,1.3664,414,214,1535,"{""rz"": 667, ""cx"": 392, ""sx"": 319, ""swap"": 106, ""measure"": 51, ""barrier"": 1}",0.0473,0.0,
circuits_transpiled/bv_n70.qasm,37,0.0277,64,61,281,"{""u2"": 139, ""measure"": 69, ""swap"": 37, ""cx"": 36, ""barrier"": 2}",33,0.7151,67,60,555,"{""rz"": 278, ""sx"": 139, ""measure"": 69, ""cx"": 36, ""swap"": 33, ""barrier"": 2}",0.0387,10.811,
circuits_transpiled/qft_n63.qasm,1441,0.328,1438,918,5657,"{""rz"": 2076, ""cx"": 2014, ""swap"": 1441, ""u2"": 63, ""measure"": 63, ""barrier"": 1}",2293,11.9757,1872,1148,11045,"{""rz"": 5226, ""cx"": 3400, ""swap"": 2293, ""sx"": 63, ""measure"": 63, ""barrier"": 1}",0.0274,-59.126,
circuits_transpiled/ghz_n78.qasm,0,0.081,79,77,156,"{""measure"": 78, ""cx"": 77, ""u2"": 1, ""barrier"": 1}",0,0.0671,81,77,158,"{""measure"": 78, ""cx"": 77, ""rz"": 2, ""sx"": 1, ""barrier"": 1}",1.2072,0.0,
circuits_transpiled/ising_n98.qasm,0,0.371,9,4,535,"{""cx"": 194, ""rz"": 145, ""u2"": 98, ""measure"": 98, ""barrier"": 1}",0,0.0621,11,4,779,"{""rz"": 389, ""cx"": 194, ""sx"": 98, ""measure"": 98, ""barrier"": 1}",5.9742,0.0,
circuits_transpiled/adder_n118.qasm,387,0.1377,811,514,2183,"{""cx"": 845, ""rz"": 572, ""swap"": 387, ""u2"": 208, ""measure"": 118, ""x"": 53, ""barrier"": 1}",291,2.0048,975,437,2555,"{""rz"": 1040, ""cx"": 845, ""swap"": 291, ""sx"": 208, ""measure"": 118, ""x"": 53, ""barrier"": 1}",0.0687,24.806,
circuits_transpiled/qugan_n71.qasm,188,0.1261,418,278,713,"{""cx"": 210, ""swap"": 188, ""rz"": 140, ""unitary"": 103, ""u2"": 37, ""measure"": 35}",195,1.6776,709,317,2162,"{""rz"": 900, ""cx"": 552, ""sx"": 480, ""swap"": 195, ""measure"": 35}",0.0752,-3.723,
circuits_transpiled/multiplier_n45.qasm,1523,0.3921,3134,2045,6089,"{""cx"": 2286, ""rz"": 1998, ""swap"": 1523, ""u2"": 268, ""measure"": 9, ""x"": 5}",1531,8.1721,3448,2035,7111,"{""rz"": 3012, ""cx"": 2286, ""swap"": 1531, ""sx"": 268, ""measure"": 9, ""x"": 5}",0.048,-0.525,
circuits_transpiled/cat_n65.qasm,0,0.0662,66,64,130,"{""measure"": 65, ""cx"": 64, ""u2"": 1, ""barrier"": 1}",0,0.1042,68,64,132,"{""measure"": 65, ""cx"": 64, ""rz"": 2, ""sx"": 1, ""barrier"": 1}",0.6353,0.0,
